t_wall,target,rtt_ms
1787859704.437,gateway,1
1787859704.452,dns,13
1787859704.477,riot,15
1787859705.438,gateway,1
1787859705.452,dns,13
1787859705.478,riot,12
1787859706.439,gateway,1
1787859706.453,dns,14
1787859706.479,riot,13
1787859707.441,gateway,1
1787859707.454,dns,16
1787859707.482,riot,12
1787859708.441,gateway,1
1787859708.454,dns,15
1787859708.482,riot,13
1787859709.442,gateway,1
1787859709.454,dns,14
1787859709.482,riot,12
1787859710.443,gateway,1
1787859710.456,dns,14
1787859710.484,riot,11
1787859711.444,gateway,1
1787859711.457,dns,13
1787859711.483,riot,9
1787859712.444,gateway,1
1787859712.457,dns,13
1787859712.484,riot,12
1787859713.445,gateway,1
1787859713.457,dns,13
1787859713.484,riot,13
1787859714.446,gateway,1
1787859714.459,dns,13
1787859714.485,riot,9
1787859715.447,gateway,1
1787859715.461,dns,12
1787859715.485,riot,13
1787859716.448,gateway,1
1787859716.462,dns,14
1787859716.490,riot,12
1787859717.449,gateway,1
1787859717.462,dns,13
1787859717.488,riot,12
1787859718.450,gateway,2
1787859718.466,dns,14
1787859718.494,riot,14
1787859719.451,gateway,1
1787859719.465,dns,14
1787859719.493,riot,13
1787859720.452,gateway,1
1787859720.466,dns,14
1787859720.494,riot,12
1787859721.453,gateway,1
1787859721.467,dns,15
1787859721.495,riot,14
1787859722.455,gateway,1
1787859722.469,dns,12
1787859722.496,riot,11
1787859723.456,gateway,1
1787859723.469,dns,14
1787859723.498,riot,12
1787859724.458,gateway,1
1787859724.471,dns,14
1787859724.497,riot,11
1787859725.459,gateway,1
1787859725.472,dns,14
1787859725.500,riot,13
1787859726.460,gateway,7
1787859726.480,dns,15
1787859726.508,riot,12
1787859727.460,gateway,1
1787859727.474,dns,14
1787859727.500,riot,12
1787859728.461,gateway,1
1787859728.474,dns,20
1787859728.507,riot,11
1787859729.461,gateway,1
1787859729.475,dns,15
1787859729.503,riot,10
1787859730.462,gateway,1
1787859730.475,dns,23
1787859730.510,riot,12
1787859731.464,gateway,1
1787859731.477,dns,13
1787859731.503,riot,12
1787859732.464,gateway,1
1787859732.477,dns,15
1787859732.503,riot,15
1787859733.466,gateway,1
1787859733.479,dns,14
1787859733.506,riot,14
1787859734.468,gateway,1
1787859734.481,dns,14
1787859734.508,riot,17
1787859735.468,gateway,3
1787859735.484,dns,14
1787859735.512,riot,22
1787859736.469,gateway,1
1787859736.482,dns,15
1787859736.509,riot,11
1787859737.470,gateway,1
1787859737.482,dns,19
1787859737.514,riot,12
1787859738.470,gateway,1
1787859738.485,dns,13
1787859738.511,riot,12
1787859739.472,gateway,1
1787859739.486,dns,14
1787859739.514,riot,13
1787859740.473,gateway,1
1787859740.487,dns,14
1787859740.514,riot,12
1787859741.473,gateway,2
1787859741.489,dns,16
1787859741.518,riot,12
1787859742.475,gateway,1
1787859742.488,dns,14
1787859742.515,riot,14
1787859743.476,gateway,1
1787859743.489,dns,13
1787859743.515,riot,12
1787859744.477,gateway,1
1787859744.490,dns,13
1787859744.515,riot,10
1787859745.478,gateway,1
1787859745.492,dns,13
1787859745.518,riot,13
1787859746.478,gateway,1
1787859746.492,dns,14
1787859746.519,riot,13
1787859747.480,gateway,1
1787859747.492,dns,13
1787859747.520,riot,12
1787859748.480,gateway,3
1787859748.496,dns,13
1787859748.522,riot,12
1787859749.480,gateway,1
1787859749.493,dns,14
1787859749.520,riot,11
1787859750.481,gateway,1
1787859750.495,dns,13
1787859750.521,riot,11
1787859751.483,gateway,1
1787859751.495,dns,15
1787859751.523,riot,13
1787859752.484,gateway,1
1787859752.497,dns,13
1787859752.524,riot,13
1787859753.485,gateway,3
1787859753.501,dns,15
1787859753.530,riot,11
1787859754.486,gateway,1
1787859754.500,dns,14
1787859754.527,riot,14
1787859755.487,gateway,2
1787859755.502,dns,14
1787859755.528,riot,11
1787859756.488,gateway,1
1787859756.500,dns,15
1787859756.530,riot,16
1787859757.488,gateway,1
1787859757.502,dns,11
1787859757.527,riot,14
1787859758.489,gateway,1
1787859758.503,dns,13
1787859758.529,riot,12
1787859759.490,gateway,1
1787859759.504,dns,13
1787859759.529,riot,12
1787859760.491,gateway,1
1787859760.506,dns,16
1787859760.534,riot,11
1787859761.492,gateway,1
1787859761.505,dns,13
1787859761.532,riot,13
1787859762.493,gateway,1
1787859762.507,dns,13
1787859762.533,riot,12
1787859763.494,gateway,1
1787859763.507,dns,14
1787859763.533,riot,11
1787859764.495,gateway,1
1787859764.505,dns,14
1787859764.530,riot,13
1787859765.496,gateway,1
1787859765.507,dns,15
1787859765.532,riot,13
1787859766.497,gateway,1
1787859766.514,dns,16
1787859766.542,riot,13
1787859767.497,gateway,1
1787859767.510,dns,14
1787859767.535,riot,15
1787859768.498,gateway,1
1787859768.511,dns,16
1787859768.537,riot,13
1787859769.499,gateway,1
1787859769.511,dns,13
1787859769.535,riot,11
1787859770.499,gateway,1
1787859770.515,dns,10
1787859770.535,riot,12
1787859771.500,gateway,1
1787859771.512,dns,14
1787859771.537,riot,14
1787859772.502,gateway,1
1787859772.517,dns,15
1787859772.544,riot,15
1787859773.503,gateway,4
1787859773.523,dns,14
1787859773.549,riot,19
1787859774.503,gateway,1
1787859774.517,dns,19
1787859774.545,riot,13
1787859775.504,gateway,1
1787859775.519,dns,14
1787859775.544,riot,14
1787859776.505,gateway,1
1787859776.515,dns,11
1787859776.538,riot,10
1787859777.506,gateway,1
1787859777.525,dns,14
1787859777.550,riot,11
1787859778.507,gateway,1
1787859778.518,dns,18
1787859778.548,riot,9
1787859779.507,gateway,1
1787859779.536,dns,16
1787859779.564,riot,13
1787859780.508,gateway,1
1787859780.520,dns,11
1787859780.544,riot,13
1787859781.509,gateway,1
1787859781.522,dns,16
1787859781.551,riot,13
1787859782.510,gateway,1
1787859782.524,dns,14
1787859782.550,riot,13
1787859783.511,gateway,1
1787859783.526,dns,14
