t_ns,kind,dx,dy
149150217229900,a,0,0
149150246263700,Wu,0,0
149150339239500,Au,0,0
149150753145600,j,0,0
149150903550000,Ju,0,0
149151326351800,s,0,0
149151486306800,a,0,0
149151524286200,Su,0,0
149151636295900,Au,0,0
149152388192700,a,0,0
149152529279900,Au,0,0
149152529614600,j,0,0
149152669271300,Ju,0,0
149152979262700,j,0,0
149153140269400,Ju,0,0
149153478525400,a,0,0
149153600244000,Au,0,0
149153750248000,j,0,0
149153872324800,Ju,0,0
149154192250400,w,0,0
149154315274000,Wu,0,0
149154606219400,j,0,0
149154793225200,Ju,0,0
149155423541900,j,0,0
149155545312200,w,0,0
149155564316000,Ju,0,0
149155630307000,a,0,0
149155659344800,Wu,0,0
149155743301900,Au,0,0
149158920263500,j,0,0
149159041276400,Ju,0,0
149160131248300,d,0,0
149160226244900,Du,0,0
149160583275300,j,0,0
149160723255200,Ju,0,0
149160977309200,s,0,0
149161100275600,Su,0,0
149161100437000,j,0,0
149161240308300,Ju,0,0
149161240899900,d,0,0
149161325332000,Du,0,0
149161447274000,w,0,0
149161560246300,Wu,0,0
149161889746800,a,0,0
149161992230900,d,0,0
149162020260700,Au,0,0
149162105262700,Du,0,0
149162387316600,j,0,0
149162500237800,Ju,0,0
149163577085200,m,-1,0
149163617079300,m,0,-1
149163844017800,m,-1,0
149163856146000,m,-2,-2
149163862001000,m,-6,-2
149163870974600,m,-13,-4
149163877931300,m,-12,-2
149163885968600,m,-13,-2
149163893987400,m,-12,-1
149163900963500,m,-8,0
149163910123300,m,-11,0
149163917083400,m,-8,1
149163925957000,m,-11,1
149163933955700,m,-10,1
149163941978200,m,-11,3
149163949943900,m,-13,4
149163957972400,m,-17,5
149163966008500,m,-20,6
149163973955100,m,-25,7
149163981945000,m,-28,6
149163989972800,m,-30,6
149163997938800,m,-30,4
149164005957400,m,-31,4
149164013969700,m,-27,3
149164021980000,m,-23,3
149164029928300,m,-18,3
149164037950100,m,-14,3
149164049166900,m,-8,1
149164053947300,m,-3,0
