t_ticks,kind,dx,dy
6262505330891,m,-2,1
6262505354830,m,-3,2
6262505378967,m,-3,2
6262505403038,m,-2,2
6262505428323,m,-2,1
6262505450951,m,-3,1
6262505475255,m,-1,2
6262505478293,a,0,0
6262505499052,m,-3,2
6262505523196,m,-2,2
6262505546879,m,-1,1
6262505570993,m,-3,1
6262505595161,m,-2,2
6262505619114,m,-2,2
6262505642845,m,-1,1
6262505667176,m,-2,1
6262505691079,m,-1,2
6262505714969,m,-2,1
6262505739274,m,-1,2
6262505762872,m,-1,1
6262505787037,m,-2,1
6262505811192,L,0,0
6262505811192,m,-1,1
6262505834987,m,-1,2
6262505858846,m,-1,1
6262505882882,m,-1,1
6262505906852,m,0,1
6262505931257,m,-1,1
6262505954922,m,-1,1
6262505979010,m,-1,1
6262506003234,m,0,1
6262506026934,m,-1,1
6262506052000,m,0,1
6262506074884,m,-1,1
6262506098903,m,0,0
6262506123341,m,-1,1
6262506195455,m,0,1
6262506218991,m,0,1
6262506243017,m,0,1
6262506291047,m,0,1
6262506387640,m,0,1
6262506411444,m,0,1
6262506483692,m,0,0
6262506507212,m,1,1
6262506531231,m,0,1
6262506602890,m,1,1
6262506627058,m,2,2
6262506675615,m,1,1
6262506699472,m,0,1
6262506723999,m,1,0
6262506746890,m,1,0
6262506771321,m,1,0
6262506795223,m,1,1
6262506818949,m,2,1
6262506843292,m,1,0
6262506866890,m,0,1
6262506891714,m,2,1
6262506915060,m,1,0
6262506939146,m,2,1
6262506963219,m,1,1
6262506986827,m,1,0
6262507010841,m,2,1
6262507034914,m,2,0
6262507059038,m,2,0
6262507082829,m,1,1
6262507107257,m,1,0
6262507131321,m,2,1
6262507154860,m,2,0
6262507178877,m,2,1
6262507203372,m,2,0
6262507227228,m,2,0
6262507250868,m,3,1
6262507275194,m,1,0
6262507298836,m,2,0
6262507323000,m,3,1
6262507346896,m,1,0
6262507371047,m,3,0
6262507395497,m,2,1
6262507420070,m,2,0
6262507442917,m,3,0
6262507466811,m,2,0
