t_ticks,kind,dx,dy
6251394616734,m,4,0
6251394640399,m,2,0
6251394664686,m,4,1
6251394688498,m,3,0
6251394712337,m,4,0
6251394736623,m,2,1
6251394760267,m,5,0
6251394784823,m,3,0
6251394808504,m,4,1
6251394832492,m,3,0
6251394856336,m,5,0
6251394880307,m,3,0
6251394905078,m,4,1
6251394928913,m,4,0
6251394952462,m,4,0
6251394976845,m,4,0
6251395000761,m,4,1
6251395024441,m,5,0
6251395048720,m,4,0
6251395072779,m,3,0
6251395096559,m,5,0
6251395120876,m,4,1
6251395144492,m,5,0
6251395168321,m,4,0
6251395192391,m,4,0
6251395217021,m,5,1
6251395240398,m,4,0
6251395264484,m,4,0
6251395288637,m,5,0
6251395312848,m,4,0
6251395337636,m,5,0
6251395360785,m,5,0
6251395384603,m,4,0
6251395408436,m,4,0
6251395432650,m,5,0
6251395456331,m,4,0
6251395480400,m,5,0
6251395504349,m,4,0
6251395528368,m,4,0
6251395552332,m,5,0
6251395576351,m,1,0
6251395600427,m,6,0
6251395624346,m,3,0
6251395648620,m,4,0
6251395890106,m,5,0
6251401456671,m,1,0
6251401600672,m,1,0
6251401672737,m,0,-1
6251401744978,m,0,-1
6251401817222,m,0,-2
6251401912733,m,0,-1
6251401984974,m,1,0
6251402273025,m,1,0
6251402369308,m,2,0
6251402440782,m,0,0
6251402512742,m,1,0
6251402536828,m,1,1
6251402848832,m,1,1
6251403280772,m,0,1
6251404651920,d,0,0
6251405539778,Au,0,0
6251405681265,m,0,0
6251406160395,m,-1,0
6251406568957,m,-1,0
6251407072802,m,-1,0
6251407216791,m,-1,0
6251407240664,m,0,1
6251407339675,Du,0,0
6251407409074,m,0,0
6251407601832,m,-1,0
6251407624612,m,-1,0
6251407672828,m,-1,0
6251407721037,m,-1,0
6251407840758,m,-1,1
6251407864683,m,-2,0
6251407888599,m,0,0
6251407984845,m,-2,0
6251408009264,m,-1,0
6251408032461,m,-1,0
6251408056993,m,-1,0
6251408080536,m,-1,0
6251408104369,m,-1,0
6251408128691,m,0,0
6251408152589,m,-1,0
6251408176542,m,-1,0
6251408200749,m,-1,0
6251408225101,m,-2,0
6251408248715,m,-1,1
6251408273040,m,-1,0
6251408297360,m,-1,0
6251408320374,m,-1,0
6251408344735,m,-2,0
6251408368457,m,-2,0
6251408392508,m,-1,0
6251408416432,m,-1,1
6251408440688,m,-2,0
6251408464432,m,-2,0
6251408488523,m,-2,0
6251408512966,m,-1,1
6251408536448,m,-2,0
6251408560322,m,-3,0
6251408584862,m,-1,0
6251408608575,m,-3,1
6251408632572,m,-3,0
6251408656579,m,-1,0
6251408680619,m,-3,0
6251408705592,m,-3,1
6251408728474,m,-2,0
6251408752628,m,-4,0
6251408776404,m,-2,0
6251408800891,m,-3,0
6251408824585,m,-4,1
6251408848874,m,-3,0
6251408872587,m,-4,0
6251408896517,m,-2,1
6251408920407,m,-4,0
6251408944448,m,-4,0
6251408968765,m,-4,0
6251408992914,m,-3,0
6251409017022,m,-4,0
6251409040659,m,-5,0
6251409064635,m,-3,0
6251409088473,m,-5,0
6251409112649,m,-4,1
6251409136433,m,-4,0
6251409160523,m,-6,0
6251409185393,m,-4,0
6251409208618,m,-4,0
6251409233493,m,-6,0
6251409256639,m,-4,0
6251409280719,m,-5,0
6251409304668,m,-5,0
6251409328609,m,-5,0
6251409352871,m,-5,0
6251409376379,m,-5,0
6251409400525,m,-5,0
6251409424409,m,-5,0
6251409448821,m,-4,0
6251409472524,m,-6,0
6251409497271,m,-5,0
6251409520443,m,-4,0
6251409544478,m,-6,0
6251409568842,m,-5,0
6251409592749,m,-4,1
6251409617426,m,-5,0
6251409640736,m,-5,0
6251409665283,m,-5,0
6251409688954,m,-4,0
6251409712822,m,-6,0
6251409736621,m,-4,0
6251409760839,m,-4,0
6251409784473,m,-5,0
6251409808750,m,-4,0
6251409833387,m,-5,0
6251409857339,m,-4,0
6251409880422,m,-4,0
6251409904559,m,-4,1
6251409928457,m,-3,0
6251409952443,m,-5,0
6251409976624,m,-3,0
6251410000668,m,-4,1
6251410024763,m,-3,0
6251410048707,m,-3,1
6251410072360,m,-3,0
6251410096548,m,-3,0
6251410120627,m,-3,1
6251410145129,m,-3,0
6251410168350,m,-3,1
6251410194072,m,-1,0
6251410216633,m,-3,0
6251410240561,m,-3,0
6251410264372,m,-1,0
6251410288349,m,-3,1
6251410312274,m,-2,1
6251410336447,L,0,0
