t_ns,kind,dx,dy
150121754770400,Au,0,0
150121761408100,m,-2,3
150121771410100,m,-4,6
150121777420900,m,-3,4
150121785475400,m,-5,8
150121793364000,m,-6,7
150121801353300,m,-7,9
150121809372300,m,-10,9
150121817420500,m,-12,9
150121825351300,m,-13,9
150121833409700,m,-15,9
150121841463900,m,-15,8
150121848439100,m,-14,6
150121857439900,m,-16,9
150121864418200,m,-10,6
150121873353600,m,-8,10
150121883368200,m,-2,10
150121889359700,m,2,11
150121897407200,m,6,16
150121905378400,m,11,17
150121913379600,m,14,16
150121921607400,m,14,13
150121929378000,m,13,12
150121937479400,m,10,9
150121945363500,m,6,7
150121955606200,m,3,5
150121961392200,m,0,2
150121968457700,m,0,1
150121987394300,m,-3,5
150121995392900,m,-1,1
150121999560200,W2u,0,0
150122002514500,m,-2,1
150122021404500,m,0,1
150122030417600,m,0,1
150122044448400,m,-2,2
150122047390900,m,-2,1
150122059371800,m,-11,9
150122067350300,m,-13,9
150122075353800,m,-17,12
150122083392400,m,-18,15
150122091406900,m,-20,16
150122099329100,m,-18,18
150122107348000,m,-14,15
150122114417000,m,-12,14
150122123345700,m,-10,17
150122131341000,m,-7,14
150122139338100,m,-2,10
150122147374000,m,-2,8
150122156429600,m,-1,7
150122163375100,m,-1,3
150122171361300,m,-2,2
150122180435700,m,-5,1
150122187359600,m,-14,0
150122194450400,m,-20,-4
150122203352600,m,-35,-8
150122211512800,m,-35,-8
150122219328300,m,-32,-6
150122227526300,m,-28,-4
150122235495900,m,-23,-2
150122243371200,m,-16,-1
150122251434000,m,-9,0
150122272509700,m,-1,0
150122272597600,m,1,0
150122277403700,m,2,0
150122291386000,m,8,0
150122298324900,m,8,0
150122306370000,m,7,0
150122315375900,m,5,1
150122323413100,m,2,0
150122336411100,m,2,1
150122341399600,m,1,0
150122352451800,m,3,3
150122359396100,m,2,3
150122367335300,m,4,3
150122374424700,m,3,3
150122383355200,m,9,7
150122391349700,m,8,4
150122399508600,m,12,6
150122407367800,m,10,5
150122415394700,m,10,4
150122424401100,m,7,3
150122433387000,m,3,2
150122443841100,m,1,0
150122461494900,m,-1,0
150122476341200,m,-17,0
150122484344500,m,-13,0
150122492342000,m,-13,0
150122500358600,m,-8,2
150122509394100,m,-10,3
150122517397700,m,-6,3
150122526407000,m,-3,3
150122532392700,m,-1,1
150122552400200,m,1,2
150122553306800,m,1,0
150122566537700,m,5,0
150122573521400,m,5,0
150122580385800,m,6,0
150122587345800,m,3,0
150122597415100,m,3,-1
150122603411300,m,2,-1
150122615449100,m,0,-1
150122661409500,m,0,1
150122674499800,m,2,2
150122688526800,m,3,2
150122698399100,m,2,2
150122702391400,m,1,0
150122709456100,m,1,1
150122741472600,m,3,1
150122810469300,m,-1,0
150122826720300,m,-1,1
150122837405900,m,-1,1
150122838317000,m,0,1
150122847405200,m,-1,1
150122857558600,m,0,1
150122871431400,m,-2,1
150122880555500,m,-3,1
150122887374600,m,-4,1
150122896377100,m,-5,1
150122903455000,m,-7,1
150122911363100,m,-15,1
150122919477900,m,-13,0
150122927377900,m,-15,0
150122935368700,m,-16,0
150122943450000,m,-15,0
150122951357900,m,-14,0
150122959368100,m,-11,-1
150122967382500,m,-7,0
150122982532900,m,-2,0
150123066511200,m,-1,0
150123076462300,m,-3,2
150123091397000,m,-3,3
150123092361800,m,0,1
150123101401600,m,-1,1
150123108394400,m,0,1
150123118460300,m,0,1
150123175676700,m,-1,0
150123183415100,m,-1,0
150123198363900,m,-10,3
150123206371900,m,-6,1
150123217394600,m,-7,4
150123222427000,m,-2,1
150123230732000,m,-5,3
150123242385100,m,-1,3
150123248389000,m,0,1
150123261443900,m,7,2
150123269371700,m,9,1
150123277409200,m,11,0
150123285343800,m,12,-1
150123293815400,m,13,-2
150123301352400,m,12,-2
150123310437000,m,13,-3
150123317364900,m,11,-2
150123325344100,m,12,-3
150123333355800,m,13,-3
150123341334600,m,13,-3
150123349405800,m,13,-2
150123357427500,m,12,-2
150123364386700,m,10,-1
150123373354700,m,10,-1
150123384442300,m,5,0
150123389394400,m,1,0
150123396437600,m,1,0
150123412414900,m,4,0
150123416390000,m,2,0
150123431346900,m,14,2
150123439389500,m,10,1
150123447614600,m,13,0
150123455431400,m,12,0
150123463429300,m,13,0
150123471352400,m,11,-1
150123479394600,m,8,-1
150123495499700,m,6,-2
150123505761200,m,1,0
150123526386600,m,1,0
150123535432400,m,5,2
150123543354200,m,10,3
150123551382300,m,13,3
150123559356300,m,15,3
150123567525600,m,20,1
150123574487000,m,18,1
150123583356400,m,22,1
150123591357700,m,17,0
150123599453700,m,13,-1
150123608590500,m,7,0
150123618435500,m,1,-1
150123645962800,m,-1,-1
150123664403800,m,-8,0
150123672429800,m,-4,0
150123681417800,m,-3,0
150123691411400,m,-2,1
150123694359200,m,-1,0
150123709355600,m,-8,3
150123717600100,m,-6,1
150123724448100,m,-5,1
150123732421000,m,-10,1
150123741344000,m,-8,0
150123749330200,m,-10,0
150123757387800,m,-9,0
150123765364300,m,-8,0
150123774500900,m,-7,-1
150123781539100,m,-7,-1
150123788395700,m,-4,-1
150123798383800,m,-6,-1
150123804433800,m,-3,0
150123814497000,m,-1,0
150123887533000,Lu,0,0
150123907611800,d,0,0
150123910537400,m,0,-1
150123925355300,m,11,-3
150123933831400,m,14,-5
150123941360700,m,18,-6
150123949427400,m,19,-5
150123957350400,m,24,-7
150123964375800,m,22,-6
150123973326900,m,32,-8
150123981334800,m,37,-6
150123989603700,m,52,-5
150123997372300,m,73,-4
150124005506700,m,99,-1
150124013348600,m,127,1
150124021349400,m,155,0
150124029412600,m,180,-1
150124037629700,m,203,-5
150124045372300,m,219,-6
150124053348600,m,228,-9
150124061346900,m,232,-14
150124068371600,m,200,-16
150124077372400,m,248,-24
150124085391400,m,197,-22
150124093352700,m,177,-21
150124101351500,m,151,-20
150124109341800,m,125,-20
150124117353300,m,98,-17
150124125357300,m,72,-16
150124133340600,m,51,-12
150124141353400,m,36,-9
150124148377000,m,22,-5
150124157405500,m,21,-4
150124165340500,m,13,-2
150124173356600,m,10,-1
150124181355200,m,11,0
150124188391700,m,12,-1
150124197351500,m,18,-1
150124204410000,m,18,-2
150124212410100,m,24,-3
150124221369400,m,29,-4
150124229391500,m,26,-3
150124237372000,m,23,-4
150124245343900,m,18,-4
150124253367800,m,13,-2
150124269538600,m,3,-2
150124284394300,m,-1,0
